"filename", "language", "C++", "JSON with Comments", "Batch", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.4\8.4-C.cpp", "C++", 74, 0, 0, 0, 4, 4, 82
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.4\8.4-E.cpp", "C++", 96, 0, 0, 0, 7, 11, 114
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.7\C.cpp", "C++", 26, 0, 0, 0, 5, 8, 39
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.7\G.cpp", "C++", 109, 0, 0, 0, 24, 11, 144
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.7\I.cpp", "C++", 26, 0, 0, 0, 4, 8, 38
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.7\list.cpp", "C++", 28, 0, 0, 0, 14, 3, 45
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.8\B.cpp", "C++", 75, 0, 0, 0, 3, 12, 90
"d:\Desktop\Document\Coding\C++\ACM\1_Trains\8.8\M.cpp", "C++", 78, 0, 0, 0, 3, 13, 94
"d:\Desktop\Document\Coding\C++\ACM\2_test\2.cpp", "C++", 102, 0, 0, 0, 5, 9, 116
"d:\Desktop\Document\Coding\C++\ACM\2_test\2023JNU TEST\Fan的减肥计划.cpp", "C++", 84, 0, 0, 0, 5, 14, 103
"d:\Desktop\Document\Coding\C++\ACM\2_test\2023JNU TEST\Mayor的战书.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\2_test\2023JNU TEST\天外来物.cpp", "C++", 69, 0, 0, 0, 4, 13, 86
"d:\Desktop\Document\Coding\C++\ACM\2_test\2023JNU TEST\素数之美.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\2_test\2023JNU TEST\苏神的荣耀.cpp", "C++", 91, 0, 0, 0, 4, 14, 109
"d:\Desktop\Document\Coding\C++\ACM\2_test\Time_Test\handmade.cpp", "C++", 31, 0, 0, 0, 0, 2, 33
"d:\Desktop\Document\Coding\C++\ACM\2_test\Time_Test\in.md", "Markdown", 0, 0, 0, 1000001, 0, 1, 1000002
"d:\Desktop\Document\Coding\C++\ACM\2_test\Time_Test\list.cpp", "C++", 11, 0, 0, 0, 0, 0, 11
"d:\Desktop\Document\Coding\C++\ACM\2_test\Time_Test\map_int_vec.cpp", "C++", 24, 0, 0, 0, 0, 2, 26
"d:\Desktop\Document\Coding\C++\ACM\2_test\Time_Test\map_vec.cpp", "C++", 17, 0, 0, 0, 0, 2, 19
"d:\Desktop\Document\Coding\C++\ACM\ACM.code-workspace", "JSON with Comments", 0, 54, 0, 0, 0, 0, 54
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\1.md", "Markdown", 0, 0, 0, 10005, 0, 1, 10006
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\A_Make_SYSU_Great_Again_I.cpp", "C++", 52, 0, 0, 0, 3, 4, 59
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\D_Yet_Another_Coffee.cpp", "C++", 52, 0, 0, 0, 263, 29, 344
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\F_Mystery_of_Prime.cpp", "C++", 64, 0, 0, 0, 4, 13, 81
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\G_Path.cpp", "C++", 63, 0, 0, 0, 4, 12, 79
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\J_Keyi_LIkes_Reading.cpp", "C++", 97, 0, 0, 0, 44, 14, 155
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023Qinhuangdao\list.cpp", "C++", 20, 0, 0, 0, 1, 0, 21
"d:\Desktop\Document\Coding\C++\ACM\CCPC\2023\12.cpp", "C++", 141, 0, 0, 0, 12, 25, 178
"d:\Desktop\Document\Coding\C++\ACM\D_Reverse_Madness.cpp", "C++", 107, 0, 0, 0, 8, 15, 130
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2021ICPC_Aisa_Nanjing\C_Klee_in_Solitary_Confinement.cpp", "C++", 164, 0, 0, 0, 20, 17, 201
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2021ICPC_Aisa_Nanjing\H_Crystalfly.cpp", "C++", 137, 0, 0, 0, 3, 17, 157
"d:\Desktop\Document\Coding\C++\ACM\ICPC\2021ICPC_Aisa_Nanjing\J_Xingqiu_s_Joke.cpp", "C++", 142, 0, 0, 0, 3, 17, 162
