"filename", "language", "C++", "JSON with Comments", "Batch", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\D.cpp", "C++", 72, 0, 0, 0, 0, 4, 76
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\E.cpp", "C++", 37, 0, 0, 0, 0, 4, 41
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\H.cpp", "C++", 43, 0, 0, 0, 1, 5, 49
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\K.cpp", "C++", 34, 0, 0, 0, 0, 4, 38
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\OutputFile\test.cpp", "C++", 28, 0, 0, 0, 0, 5, 33
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\Nowcoder59788\test copy.cpp", "C++", 52, 0, 0, 0, 0, 7, 59
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\maxMatch.cpp", "C++", 152, 0, 0, 0, 17, 15, 184
"d:\Desktop\Document\Coding\C++\ACM\Z_ACM\test.cpp", "C++", 72, 0, 0, 0, 18, 9, 99
"d:\Desktop\Document\Coding\C++\ACM\a.cmd", "Batch", 0, 0, 1, 0, 0, 1, 2
"d:\Desktop\Document\Coding\C++\ACM\ts.cpp", "C++", 15, 0, 0, 0, 0, 1, 16
"Total", "-", 15650, 54, 1, 1010106, 2108, 2314, 1030233
